INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,33.896359999999994,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,54.73353,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,30.0062,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,6.25911,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,19.8648,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,6.10093,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,21.59838,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,40.90311,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,26.67343,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,4.9732400000000005,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,28.54255,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,30.409609999999997,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,26.790329999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,26.78342,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,33.64825,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,25.93368,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,23.69322,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,46.35682,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,26.28037,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,26.58713,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,11.89212,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,17.970579999999998,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,25.69258,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,26.75767,1
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,23.49522,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,26.3335,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,25.76584,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,28.697840000000003,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,49.685140000000004,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,28.53407,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,27.19517,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,23.22309,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,38.50233,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,28.688940000000002,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,31.816129999999998,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CHSTN_1_N001,CHSTN_1_N001,CHSTN_1_N001,DAM,LMP,LMP_PRC,CHSTN_1_N001,ALL,1,35.726009999999995,5
