INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,43.87117,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,35.85199,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,6.44629,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,20.86759,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,4.99405,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,32.27013,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,18.34389,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,6.239330000000001,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,30.23606,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,57.08008,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,28.436159999999997,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,27.591109999999997,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,28.06764,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,35.68136,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,28.21606,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,26.673959999999997,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,22.37589,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHWCHLA2_7_N001,CHWCHLA2_7_N001,CHWCHLA2_7_N001,DAM,LMP,LMP_PRC,CHWCHLA2_7_N001,ALL,1,12.17764,1
