INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,27.60205,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,43.91069,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,28.084190000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,28.447409999999998,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,28.15196,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,20.86344,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,12.18863,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,26.68715,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,57.44109,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,28.382720000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,30.25716,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,6.243130000000001,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,24.703960000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,28.5123,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,4.99812,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,18.36596,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,35.88075,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,6.45031,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,35.7095,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,48.72014,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,31.52017,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,22.3893,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,32.28927,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,28.23276,1
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CHWCHLLA_1_N001,CHWCHLLA_1_N001,CHWCHLLA_1_N001,DAM,LMP,LMP_PRC,CHWCHLLA_1_N001,ALL,1,24.44268,5
