INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,24.902820000000002,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,7.40218,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,30.454729999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,30.324579999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,32.47198,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,39.55115,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,5.55529,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,13.516210000000001,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,55.26627,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,49.03456,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,30.01257,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,20.444010000000002,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,33.46225,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,35.11355,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,30.27563,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,30.40083,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,22.60535,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,29.54423,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,29.33607,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,6.938219999999999,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,65.19695,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,39.35713,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CICCOGN_7_N002,CICCOGN_7_N002,CICCOGN_7_N002,DAM,LMP,LMP_PRC,CICCOGN_7_N002,ALL,1,30.1156,1
