INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,4.797680000000001,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,23.64391,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,27.266859999999998,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,6.051,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,6.00185,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,47.75108,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,27.12685,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,30.0,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,29.22056,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,11.70787,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,33.739709999999995,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,30.89469,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,26.682740000000003,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,26.98605,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,19.94993,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,21.41294,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,25.20453,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,34.81666,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CIMA_2_N101,CIMA_2_N101,CIMA_2_N101,DAM,LMP,LMP_PRC,CIMA_2_N101,ALL,1,27.27383,1
