INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,27.99298,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,57.761340000000004,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,22.912110000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,28.19882,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,5.16765,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,6.42746,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,12.5193,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,27.12772,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,43.511140000000005,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,35.478120000000004,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,32.19034,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,28.15868,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,31.486040000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,21.17694,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,6.64314,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,25.209329999999998,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,28.346870000000003,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,28.523259999999997,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,28.5234,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,35.35423,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,27.68957,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,30.19387,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,49.16018,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,18.86984,1
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CLAMMNA_1_N001,CLAMMNA_1_N001,CLAMMNA_1_N001,DAM,LMP,LMP_PRC,CLAMMNA_1_N001,ALL,1,24.51988,5
