INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,12.07271,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,22.0564,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,30.443640000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,26.836240000000004,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.592909999999996,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,30.85639,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,34.493120000000005,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,24.20352,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,47.42476,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,29.338079999999998,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.11845,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,42.167609999999996,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,55.886430000000004,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,25.861420000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.64814,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.317090000000004,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,20.572779999999998,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.267770000000002,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,34.0,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,18.178379999999997,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,4.99591,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,6.41514,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.23449,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,6.20554,1
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,43.04039,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,26.0552,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,23.35535,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,40.088429999999995,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,29.56646,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,26.05742,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,24.0959,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,23.41793,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,26.10172,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,28.92977,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,26.471190000000004,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,20.92403,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,36.8085,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,37.80945,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,26.31338,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,32.37378,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,25.65504,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,58.790209999999995,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,50.472570000000005,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,36.995290000000004,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.82082,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,26.11956,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,28.226940000000003,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,25.66582,5
2017-10-03T12:00:00-00:00,2017-10-03,5,0,CLARKRD_7_N002,CLARKRD_7_N002,CLARKRD_7_N002,DAM,LMP,LMP_PRC,CLARKRD_7_N002,ALL,1,27.73613,9
