INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,35.92055,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,18.980179999999997,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,27.905640000000002,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.75136,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,31.72802,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.44762,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,21.40117,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,6.69265,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.29958,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,12.61692,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,36.146770000000004,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,5.20226,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,6.47239,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,50.25779,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,30.651909999999997,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,23.07074,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,58.94335,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.76779,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.555609999999998,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,25.354770000000002,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,27.16465,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,32.2797,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.40973,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,44.4683,1
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,27.04965,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,27.072770000000002,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,39.74025,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,53.89516,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,27.3195,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,41.69068,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,29.760920000000002,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,29.5478,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,26.545859999999998,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,25.512610000000002,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,38.36411,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,22.76231,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,33.385490000000004,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,45.0931,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,33.698209999999996,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,26.98374,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,26.56075,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,24.54114,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,31.982609999999998,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,33.10935,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,61.747119999999995,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,30.75287,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,44.49407,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,30.17557,5
2017-10-03T22:00:00-00:00,2017-10-03,15,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.63689,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,23.19183,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,30.623520000000003,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,27.088759999999997,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.531090000000003,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,66.30436999999999,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.37984,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,45.028659999999995,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.328809999999997,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,28.96201,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,41.99143,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,30.87538,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,55.04375,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,34.781929999999996,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,25.60301,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,38.80766,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,44.74504,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,34.94506,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,26.15042,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,27.92362,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,23.5561,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,33.080729999999996,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,30.18325,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,CLAYTN_1_N001,CLAYTN_1_N001,CLAYTN_1_N001,DAM,LMP,LMP_PRC,CLAYTN_1_N001,ALL,1,47.327740000000006,9
