INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,6.41544,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,6.74015,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,28.71425,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,28.02598,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,5.15798,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,49.80292,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,28.83806,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,12.536389999999999,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,28.48991,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,28.92867,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,18.9526,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,43.80531,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,36.4847,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,27.227959999999996,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,35.90999,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,58.42513,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,28.48697,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,30.83271,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,32.39139,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,22.9635,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,32.06308,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLAY_6_N001,CLAY_6_N001,CLAY_6_N001,DAM,LMP,LMP_PRC,CLAY_6_N001,ALL,1,28.64845,1
