INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,27.30596,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,27.03862,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,20.29249,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,48.8042,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,11.93482,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,6.5312,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,31.459540000000004,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,35.53564,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,4.97634,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,27.3905,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,25.83768,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,21.86872,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLEARGEN_6_N004,CLEARGEN_6_N004,CLEARGEN_6_N004,DAM,LMP,LMP_PRC,CLEARGEN_6_N004,ALL,1,29.66051,1
