INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,27.92245,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,20.794929999999997,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,43.18185,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,29.78626,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,27.257209999999997,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,20.017870000000002,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,34.92617,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,30.17473,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,6.50162,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,6.17109,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,17.76645,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,21.60955,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,18.425320000000003,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,160.0,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,27.134829999999997,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,27.862190000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,27.94371,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,5.02096,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,12.04952,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,23.20305,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,38.6368,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,30.826490000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,27.05838,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,26.55782,1
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,83.39092,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,92.78065,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,25.82114,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,93.70854,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,26.11153,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,221.38385,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,136.49739,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,43.93307,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,176.33,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,70.2135,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,25.498620000000003,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,25.11045,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,25.111710000000002,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CLERLKE_6_N012,CLERLKE_6_N012,CLERLKE_6_N012,DAM,LMP,LMP_PRC,CLERLKE_6_N012,ALL,1,101.1317,5
