INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,20.90289,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,27.68383,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,5.08955,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,6.32514,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,22.53899,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,55.79909,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,34.69084,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,31.14361,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,34.47486,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,41.99638,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,27.74292,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,27.68693,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,27.95549,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,30.930709999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,28.064659999999996,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,26.557879999999997,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,47.404990000000005,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,27.249229999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,29.829259999999998,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,6.53289,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,12.30333,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,18.54618,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLMBAHL_6_N001,CLMBAHL_6_N001,CLMBAHL_6_N001,DAM,LMP,LMP_PRC,CLMBAHL_6_N001,ALL,1,24.72861,1
