INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,6.29288,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,26.08501,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,18.42291,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,27.276190000000003,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,27.324959999999997,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,4.86421,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,29.1672,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,30.24178,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,34.09677,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,20.19491,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLOVRDLE_1_N001,CLOVRDLE_1_N001,CLOVRDLE_1_N001,DAM,LMP,LMP_PRC,CLOVRDLE_1_N001,ALL,1,27.28769,1
