INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.06764,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,35.75493,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,21.17694,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,12.45585,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,32.12014,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.271729999999998,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,25.15756,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,6.61402,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,5.14299,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,49.47166,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.10176,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,43.84044,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,27.62667,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,31.36815,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,6.39257,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,18.77421,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,58.2388,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.16524,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.433320000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,30.2662,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,22.838379999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,27.096059999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,35.4879,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.422079999999998,1
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,27.17616,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,39.39947,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,26.98173,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,29.194259999999996,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,30.129640000000002,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,25.643810000000002,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,27.87602,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.379620000000003,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,21.88674,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,28.8664,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,30.128,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,30.46535,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,44.47685,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,26.513370000000002,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,40.95615,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,24.0846,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,24.47189,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,26.9436,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CLRKSVLE_1_N003,CLRKSVLE_1_N003,CLRKSVLE_1_N003,DAM,LMP,LMP_PRC,CLRKSVLE_1_N003,ALL,1,39.03461,5
