INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,31.781859999999998,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,17.93564,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,6.1071800000000005,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.2091,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,32.248059999999995,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,35.7082,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,44.05997,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,4.92885,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,24.0747,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,28.93429,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.966409999999996,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,6.3444,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,30.01241,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.160059999999998,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.773390000000003,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,56.01453000000001,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.77102,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.365809999999996,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,21.87319,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.841009999999997,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,11.92506,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.05225,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,20.6579,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,46.1472,1
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,23.97995,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,36.93719,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,25.90575,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,28.129140000000003,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.368190000000002,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,32.55303,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.616809999999997,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,51.06975,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,43.3197,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,39.62781,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,21.49304,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,59.0901,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.09955,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,40.41937,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,23.63972,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,28.00617,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.61076,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,30.873929999999998,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.94225,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,29.702820000000003,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.00515,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,28.908070000000002,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,36.055659999999996,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,25.57566,5
2017-10-03T18:00:00-00:00,2017-10-03,11,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,24.5001,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.34644,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,30.789140000000003,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,46.178779999999996,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.713659999999997,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,28.82473,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,25.75095,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,42.28137,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.43999,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,32.76201,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.94339,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.08072,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,25.24081,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,34.8935,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.38465,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.071740000000002,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,24.70684,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,39.458890000000004,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.1956,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,28.917990000000003,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,35.83007,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,56.81742,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.71807,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,42.938179999999996,9
2017-10-04T20:00:00-00:00,2017-10-04,13,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,24.90699,13
2017-10-05T01:00:00-00:00,2017-10-04,18,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,40.04925,13
2017-10-04T08:00:00-00:00,2017-10-04,1,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.597640000000002,13
2017-10-04T11:00:00-00:00,2017-10-04,4,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.48637,13
2017-10-04T13:00:00-00:00,2017-10-04,6,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,30.33349,13
2017-10-04T15:00:00-00:00,2017-10-04,8,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,44.77643,13
2017-10-05T03:00:00-00:00,2017-10-04,20,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,63.5088,13
2017-10-04T12:00:00-00:00,2017-10-04,5,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.0805,13
2017-10-04T17:00:00-00:00,2017-10-04,10,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.247809999999998,13
2017-10-04T19:00:00-00:00,2017-10-04,12,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,24.31864,13
2017-10-04T18:00:00-00:00,2017-10-04,11,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,24.7145,13
2017-10-04T22:00:00-00:00,2017-10-04,15,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.6133,13
2017-10-05T04:00:00-00:00,2017-10-04,21,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,45.66981,13
2017-10-04T10:00:00-00:00,2017-10-04,3,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.569209999999998,13
2017-10-04T14:00:00-00:00,2017-10-04,7,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,41.05081,13
2017-10-04T16:00:00-00:00,2017-10-04,9,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,28.807190000000002,13
2017-10-05T06:00:00-00:00,2017-10-04,23,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,33.1784,13
2017-10-04T09:00:00-00:00,2017-10-04,2,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.138709999999996,13
2017-10-05T05:00:00-00:00,2017-10-04,22,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,38.43275,13
2017-10-05T07:00:00-00:00,2017-10-04,24,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,30.12787,13
2017-10-04T21:00:00-00:00,2017-10-04,14,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,26.048679999999997,13
2017-10-04T23:00:00-00:00,2017-10-04,16,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,27.368340000000003,13
2017-10-05T00:00:00-00:00,2017-10-04,17,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,29.412470000000003,13
2017-10-05T02:00:00-00:00,2017-10-04,19,0,CLSAJCT_6_N001,CLSAJCT_6_N001,CLSAJCT_6_N001,DAM,LMP,LMP_PRC,CLSAJCT_6_N001,ALL,1,54.17383,13
