INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,32.171659999999996,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,5.36139,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,36.67882,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,27.49705,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,29.14565,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,32.71052,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,50.58905,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,19.17511,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,6.674980000000001,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,6.962619999999999,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,45.091770000000004,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,29.03058,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,28.20376,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,12.84388,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,21.79772,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,28.46752,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,29.153809999999996,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,36.627559999999995,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,25.51748,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,23.31204,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,59.75271,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,31.20938,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,29.211890000000004,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,28.840090000000004,1
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,46.49409,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,30.734709999999996,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,31.989859999999997,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,55.40971999999999,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,27.171840000000003,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,26.647609999999997,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CMPEVRS_1_N001,CMPEVRS_1_N001,CMPEVRS_1_N001,DAM,LMP,LMP_PRC,CMPEVRS_1_N001,ALL,1,34.73717,5
