INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,12.2899,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,43.23453,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,29.814190000000004,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,27.71452,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,48.77453,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,20.83645,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,30.97725,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,26.634390000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,28.03933,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COGNTNL_7_B1,COGNTNL_7_B1,COGNTNL_7_B1,DAM,LMP,LMP_PRC,COGNTNL_7_B1,ALL,1,6.50799,1
