INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T05:00:00-00:00,2017-10-01,22,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,34.60456,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,55.28086,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,27.63595,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,29.768990000000002,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,22.43398,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,27.629,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,12.256960000000001,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,30.87797,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,26.45236,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,27.208209999999998,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,27.58867,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,27.907709999999998,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,6.30236,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,20.84891,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,31.12446,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,46.9699,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,41.653909999999996,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,24.65465,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,28.016820000000003,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,18.4671,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,5.07072,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,6.50948,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COLGATE1_7_B1,COLGATE1_7_B1,COLGATE1_7_B1,DAM,LMP,LMP_PRC,COLGATE1_7_B1,ALL,1,27.67612,1
