INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,21.075210000000002,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,57.7264,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,28.351809999999997,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,5.12897,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,22.77359,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,25.063879999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,26.95096,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,35.38589,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,35.57159,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,27.536409999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,27.979029999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,28.348909999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,6.59363,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,12.44365,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,28.22441,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,28.020740000000004,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,18.75766,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,43.48919,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,31.954190000000004,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,31.330920000000003,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,49.10085,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,30.12155,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COLLRVL1_7_B1,COLLRVL1_7_B1,COLLRVL1_7_B1,DAM,LMP,LMP_PRC,COLLRVL1_7_B1,ALL,1,6.37937,1
