INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,30.921409999999998,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,35.35949,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,34.615559999999995,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,23.929879999999997,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,6.09739,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,27.736359999999998,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,27.51037,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,43.230140000000006,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,25.75062,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,21.68998,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,48.72014,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,17.86575,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,6.324380000000001,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,31.552090000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,27.991490000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,29.98595,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,27.96674,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,4.89922,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,27.202740000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,27.709020000000002,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,57.330459999999995,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,20.4316,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,27.6956,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,11.859169999999999,1
2017-10-02T23:00:00-00:00,2017-10-02,16,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,26.3499,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,22.84124,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,COLNGA1_6_N001,COLNGA1_6_N001,COLNGA1_6_N001,DAM,LMP,LMP_PRC,COLNGA1_6_N001,ALL,1,22.80058,5
