INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.507609999999996,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,25.68467,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,21.62295,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,23.86332,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,11.82501,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,6.30765,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,35.28759,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,43.12916,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,29.9739,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.98586,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.68447,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,17.80875,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.9583,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,31.52018,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,48.63609,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,20.39215,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.73915,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,57.190709999999996,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,34.566309999999994,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,6.07777,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,4.88446,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,30.9152,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.197259999999996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.69782,1
2017-10-02T18:00:00-00:00,2017-10-02,11,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,20.28426,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,29.69985,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,33.04097,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,39.87572,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.85776,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,23.72264,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,25.76251,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,51.1208,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,37.49736,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,25.67555,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,26.25085,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,26.11328,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,29.947809999999997,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,22.767139999999998,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,37.20221,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,26.58813,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,38.2747,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,26.04658,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,27.758770000000002,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,59.85115,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,26.539540000000002,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,26.78128,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,22.71464,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,43.82512,5
2017-10-03T14:00:00-00:00,2017-10-03,7,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,41.46629,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,28.4922,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,29.231579999999997,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,43.4744,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,32.58313,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,28.10391,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,COLNGAGN_7_B1,COLNGAGN_7_B1,COLNGAGN_7_B1,DAM,LMP,LMP_PRC,COLNGAGN_7_B1,ALL,1,17.6016,9
