INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,5.20022,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,25.45585,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,19.02432,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,28.580659999999998,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,27.4311,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,58.82108,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,44.26194,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,32.42331,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,28.379379999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,36.02959,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,50.02047,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,28.711579999999998,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,28.383470000000003,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,23.11766,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,28.740109999999998,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,31.76525,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,30.558490000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COLONY_6_N001,COLONY_6_N001,COLONY_6_N001,DAM,LMP,LMP_PRC,COLONY_6_N001,ALL,1,21.38664,1
