INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T01:00:00-00:00,2017-10-01,18,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,32.30434,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.34409,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.142129999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.54873,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,56.1368,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,31.572909999999997,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,17.95035,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,21.8933,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,6.11161,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,20.7098,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,6.35109,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.50341,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,11.9336,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,31.836109999999998,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.51202,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.667690000000004,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,4.93343,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,24.09688,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,44.15657,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.815379999999998,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,30.558490000000003,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,26.08391,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,35.7765,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,46.24114,1
2017-10-02T11:00:00-00:00,2017-10-02,4,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,26.6536,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.66512,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,30.925390000000004,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.40605,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,30.148809999999997,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,26.455340000000003,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,29.617829999999998,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,41.30727,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,26.647609999999997,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.03993,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,44.25074,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.510479999999998,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.28538,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,23.964560000000002,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,60.22968,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,52.12247,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.13703,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,33.13392,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,36.69983,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,21.80116,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,39.71311,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,37.65632,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,24.265520000000002,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,25.8783,5
2017-10-03T10:00:00-00:00,2017-10-03,3,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.74533,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.14371,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,34.929359999999996,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,45.08927,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,30.8099,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,25.88993,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.73773,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,61.03259,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,30.636059999999997,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.68137,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.47573,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,41.89228,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.500220000000002,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,46.0376,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,29.346529999999998,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,26.570970000000003,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,29.32681,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,49.61996,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,33.00217,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,25.75166,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,38.383,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.973340000000004,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,37.3674,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.20337,9
2017-10-05T03:00:00-00:00,2017-10-04,20,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,67.9943,13
2017-10-04T22:00:00-00:00,2017-10-04,15,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.222540000000002,13
2017-10-04T18:00:00-00:00,2017-10-04,11,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,26.029989999999998,13
2017-10-04T15:00:00-00:00,2017-10-04,8,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,47.77148,13
2017-10-05T01:00:00-00:00,2017-10-04,18,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,42.69811,13
2017-10-05T00:00:00-00:00,2017-10-04,17,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,31.30635,13
2017-10-04T21:00:00-00:00,2017-10-04,14,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.529220000000002,13
2017-10-05T04:00:00-00:00,2017-10-04,21,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,48.96808,13
2017-10-04T20:00:00-00:00,2017-10-04,13,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,26.35207,13
2017-10-04T17:00:00-00:00,2017-10-04,10,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,27.91998,13
2017-10-04T13:00:00-00:00,2017-10-04,6,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,32.05865,13
2017-10-04T14:00:00-00:00,2017-10-04,7,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,43.551809999999996,13
2017-10-04T08:00:00-00:00,2017-10-04,1,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,29.206690000000002,13
2017-10-05T07:00:00-00:00,2017-10-04,24,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,31.99206,13
2017-10-04T19:00:00-00:00,2017-10-04,12,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,25.69505,13
2017-10-04T12:00:00-00:00,2017-10-04,5,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.59615,13
2017-10-05T02:00:00-00:00,2017-10-04,19,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,57.9538,13
2017-10-04T09:00:00-00:00,2017-10-04,2,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.733159999999998,13
2017-10-04T11:00:00-00:00,2017-10-04,4,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.01008,13
2017-10-04T10:00:00-00:00,2017-10-04,3,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.0809,13
2017-10-04T16:00:00-00:00,2017-10-04,9,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,30.716209999999997,13
2017-10-05T06:00:00-00:00,2017-10-04,23,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,35.39147,13
2017-10-05T05:00:00-00:00,2017-10-04,22,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,41.18495,13
2017-10-04T23:00:00-00:00,2017-10-04,16,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,29.04471,13
2017-10-05T16:00:00-00:00,2017-10-05,9,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.885,17
2017-10-05T14:00:00-00:00,2017-10-05,7,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,41.5627,17
2017-10-06T00:00:00-00:00,2017-10-05,17,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,31.94848,17
2017-10-06T02:00:00-00:00,2017-10-05,19,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,56.00496999999999,17
2017-10-05T11:00:00-00:00,2017-10-05,4,0,COLUSA_6_N001,COLUSA_6_N001,COLUSA_6_N001,DAM,LMP,LMP_PRC,COLUSA_6_N001,ALL,1,28.42287,17
