INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,20.03505,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,29.4556,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,24.136960000000002,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,25.69258,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,26.930220000000002,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,30.20165,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,5.7851,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,31.20743,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,26.688259999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,27.408920000000002,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,11.804260000000001,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,17.819779999999998,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,48.70037,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,57.19654,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,4.75734,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,21.71009,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,42.99305,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,35.301970000000004,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,27.345159999999996,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,27.418640000000003,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,26.685809999999996,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,27.198040000000002,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,34.49245,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,4.52125,1
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,29.066540000000003,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,25.37578,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,22.3642,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,25.05886,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,36.773,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,26.18918,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,26.445909999999998,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,23.37569,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,50.3392,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,25.70794,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,25.65241,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,38.9975,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,22.33938,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,19.89627,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,43.51921,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,26.16224,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,59.01109,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,32.55303,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CONCHO_1_N002,CONCHO_1_N002,CONCHO_1_N002,DAM,LMP,LMP_PRC,CONCHO_1_N002,ALL,1,37.650490000000005,5
