INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,26.10677,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,31.411579999999997,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,17.992639999999998,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,48.80914,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,35.74774,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,20.489729999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,35.35071,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,27.399659999999997,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,28.467109999999998,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CONTADNA_1_N001,CONTADNA_1_N001,CONTADNA_1_N001,DAM,LMP,LMP_PRC,CONTADNA_1_N001,ALL,1,30.447,1
