INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,5.33016,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,21.91798,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,21.48907,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,21.476960000000002,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,17.15001,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,19.48016,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,43.02987,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,21.86466,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,21.884529999999998,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,24.08066,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,33.27219,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,24.73235,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,21.88713,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,16.77338,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,9.870239999999999,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,4.16539,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,28.06543,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,5.2283800000000005,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,27.4223,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,21.33607,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,23.51325,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,14.813039999999999,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,37.78852,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CONTROLX_1_N008,CONTROLX_1_N008,CONTROLX_1_N008,DAM,LMP,LMP_PRC,CONTROLX_1_N008,ALL,1,20.86747,1
