INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,17.3779,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,5.2632900000000005,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,21.794220000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,16.91664,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,21.27374,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,22.36873,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,23.89294,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,22.17986,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,21.68615,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CONTROL_7_N001,CONTROL_7_N001,CONTROL_7_N001,DAM,LMP,LMP_PRC,CONTROL_7_N001,ALL,1,4.182519999999999,1
