INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,49.55571,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,-15.24949,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,32.193540000000006,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,25.3549,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,21.01301,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,28.366740000000004,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,31.86763,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,36.1288,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,28.17799,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,5.84011,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,19.99353,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,27.69231,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,28.23276,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,30.88996,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,44.43757,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,28.638790000000004,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,28.73061,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,58.52994,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,11.45284,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,23.26673,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,17.3159,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,6.02916,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,35.13966,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,28.424879999999998,1
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,62.050869999999996,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,24.79125,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,38.24487,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,33.95712,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,27.44933,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,31.12998,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,27.614490000000004,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,21.537760000000002,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,22.19554,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,38.72368,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CORCORAN_1_N005,CORCORAN_1_N005,CORCORAN_1_N005,DAM,LMP,LMP_PRC,CORCORAN_1_N005,ALL,1,27.037159999999997,5
