INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,27.40059,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,22.13459,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,6.818389999999999,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,27.847959999999997,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,57.48185,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,24.48209,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,9.29721,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,31.53613,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,12.022680000000001,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,35.68303,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,48.91297,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,25.89836,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,20.57485,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,27.091040000000003,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,27.59426,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,34.75626,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,18.16919,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,27.889770000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,27.862740000000002,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,43.45406,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CORONADO_6_N002,CORONADO_6_N002,CORONADO_6_N002,DAM,LMP,LMP_PRC,CORONADO_6_N002,ALL,1,5.65683,1
