INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,22.55463,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,27.2547,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,50.45196,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,18.55721,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,12.348469999999999,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,21.00254,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,31.0393,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,36.52659,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,28.104459999999996,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,27.78625,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,44.11705,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,31.91909,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,26.63175,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,29.97993,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,5.0953800000000005,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,6.556660000000001,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,58.50665,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,24.77298,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,6.33218,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CORONA_1_N001,CORONA_1_N001,CORONA_1_N001,DAM,LMP,LMP_PRC,CORONA_1_N001,ALL,1,28.089990000000004,1
