INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,6.24032,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,44.61758,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,32.01482,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,58.2388,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,49.6991,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,36.53259,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,28.12939,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,24.75326,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,6.38692,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,21.11466,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,28.72097,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,30.57657,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,22.340139999999998,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CORSGOLD_1_N001,CORSGOLD_1_N001,CORSGOLD_1_N001,DAM,LMP,LMP_PRC,CORSGOLD_1_N001,ALL,1,27.947059999999997,1
