INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,27.82263,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,6.2304900000000005,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,5.01044,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,34.18994,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,27.328290000000003,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,30.670109999999998,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,55.81655,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,27.00034,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,29.509840000000004,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,27.35145,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,24.19859,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,47.52365,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,42.22469,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,34.60456,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,31.0351,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,27.2416,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COTWDPGE_1_N001,COTWDPGE_1_N001,COTWDPGE_1_N001,DAM,LMP,LMP_PRC,COTWDPGE_1_N001,ALL,1,27.503559999999997,1
