INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,34.94954,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,28.89201,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,7.218839999999999,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,34.08401,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,31.306379999999997,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,59.53726999999999,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,6.658989999999999,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,5.24783,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,34.28952,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,33.99886,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,38.49958,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,12.831669999999999,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,45.20073,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,36.40598,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,35.16657,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,30.102759999999996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,31.03711,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COVELO6_6_N001,COVELO6_6_N001,COVELO6_6_N001,DAM,LMP,LMP_PRC,COVELO6_6_N001,ALL,1,46.1104,1
