INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,27.17515,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,27.07252,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,30.307140000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,6.38134,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,21.89777,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,26.75419,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,6.18457,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,33.693979999999996,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,12.01292,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,18.06253,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,47.0144,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,55.29251,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,29.160290000000003,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,4.97674,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,41.77245,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,30.700020000000002,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,20.437829999999998,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,COVERD_7_B1,COVERD_7_B1,COVERD_7_B1,DAM,LMP,LMP_PRC,COVERD_7_B1,ALL,1,26.958920000000003,1
