INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,48.92286,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,5.67241,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,31.50422,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,9.3999,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,22.0564,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,30.710440000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,29.83227,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,25.79811,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,27.599859999999996,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,27.42285,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,27.12414,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,27.14803,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,27.87892,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,27.89814,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,6.82672,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,24.4032,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,34.73515,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,20.552020000000002,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,57.63906,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,35.63989,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,11.98729,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,18.1177,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,27.888040000000004,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,43.46285,1
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,32.76878,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,50.13479,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,25.90731,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,25.95799,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,26.81103,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,24.68449,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,10.607489999999999,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,1.02,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,14.59191,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CPBORDER_7_B1,CPBORDER_7_B1,CPBORDER_7_B1,DAM,LMP,LMP_PRC,CPBORDER_7_B1,ALL,1,15.20297,5
