INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,30.03718,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,26.02235,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,9.4032,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,5.68665,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,22.19045,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,49.41728,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,58.02919,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,43.853609999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,27.96335,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,30.812820000000002,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,20.62261,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,6.83697,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,24.58316,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,35.07987,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,31.733990000000002,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,27.53418,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,27.97798,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,18.21516,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,27.76779,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,27.21518,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,27.23282,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,28.018079999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CPELCAJN_7_B1,CPELCAJN_7_B1,CPELCAJN_7_B1,DAM,LMP,LMP_PRC,CPELCAJN_7_B1,ALL,1,12.040980000000001,1
