INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,24.75573,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,22.54346,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,27.814459999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,29.952809999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,28.09843,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,12.343589999999999,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,6.5493,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,27.985059999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,26.594820000000002,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,27.783490000000004,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,35.2065,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,6.32965,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,35.76931,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,27.98051,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,58.34944,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,5.091819999999999,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,20.96933,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,28.11008,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,18.5517,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,31.03619,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,31.922279999999997,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,44.02485,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CRCKTCOG_7_N001,CRCKTCOG_7_N001,CRCKTCOG_7_N001,DAM,LMP,LMP_PRC,CRCKTCOG_7_N001,ALL,1,49.2294,1
