INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,11.816460000000001,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,50.06991,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,31.7691,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,28.151909999999997,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,35.3683,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,58.78614,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,27.690040000000003,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,24.18133,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,31.064120000000003,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,28.126859999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,28.098840000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,30.2903,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,20.39838,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,9.30447,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,17.83633,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,21.75701,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,27.333809999999996,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,27.377779999999998,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,6.7179199999999994,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,25.674120000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,27.93293,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,44.29707,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,5.6147800000000005,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,36.07128,1
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,25.90731,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CREELMAN_6_N014,CREELMAN_6_N014,CREELMAN_6_N014,DAM,LMP,LMP_PRC,CREELMAN_6_N014,ALL,1,10.25388,5
