ba_name,freq,market,net_exp_MW,timestamp
CAISO,1hr,DAM,-7272.34,2017-10-01 07:00:00+00:00
CAISO,1hr,DAM,-7159.0,2017-10-01 08:00:00+00:00
CAISO,1hr,DAM,-7589.0,2017-10-01 09:00:00+00:00
CAISO,1hr,DAM,-7167.5599999999995,2017-10-01 10:00:00+00:00
CAISO,1hr,DAM,-7674.0,2017-10-01 11:00:00+00:00
CAISO,1hr,DAM,-8124.0,2017-10-01 12:00:00+00:00
CAISO,1hr,DAM,-8399.0,2017-10-01 13:00:00+00:00
CAISO,1hr,DAM,-7457.0,2017-10-01 14:00:00+00:00
CAISO,1hr,DAM,-5060.37,2017-10-01 15:00:00+00:00
CAISO,1hr,DAM,-4055.63,2017-10-01 16:00:00+00:00
CAISO,1hr,DAM,-3962.0,2017-10-01 17:00:00+00:00
CAISO,1hr,DAM,-4111.0,2017-10-01 18:00:00+00:00
CAISO,1hr,DAM,-4036.0,2017-10-01 19:00:00+00:00
CAISO,1hr,DAM,-4280.0,2017-10-01 20:00:00+00:00
CAISO,1hr,DAM,-4627.0,2017-10-01 21:00:00+00:00
CAISO,1hr,DAM,-5410.0,2017-10-01 22:00:00+00:00
CAISO,1hr,DAM,-5681.0,2017-10-01 23:00:00+00:00
CAISO,1hr,DAM,-7752.4400000000005,2017-10-02 00:00:00+00:00
CAISO,1hr,DAM,-9236.8,2017-10-02 01:00:00+00:00
CAISO,1hr,DAM,-9460.0,2017-10-02 02:00:00+00:00
CAISO,1hr,DAM,-9317.0,2017-10-02 03:00:00+00:00
CAISO,1hr,DAM,-8153.6,2017-10-02 04:00:00+00:00
CAISO,1hr,DAM,-7596.200000000001,2017-10-02 05:00:00+00:00
CAISO,1hr,DAM,-7023.0,2017-10-02 06:00:00+00:00
CAISO,1hr,DAM,-6095.23,2017-10-02 07:00:00+00:00
CAISO,1hr,DAM,-6024.86,2017-10-02 08:00:00+00:00
CAISO,1hr,DAM,-5823.0,2017-10-02 09:00:00+00:00
CAISO,1hr,DAM,-5767.0,2017-10-02 10:00:00+00:00
CAISO,1hr,DAM,-6669.0,2017-10-02 11:00:00+00:00
CAISO,1hr,DAM,-7905.0,2017-10-02 12:00:00+00:00
CAISO,1hr,DAM,-9723.4,2017-10-02 13:00:00+00:00
CAISO,1hr,DAM,-9434.06,2017-10-02 14:00:00+00:00
CAISO,1hr,DAM,-7833.27,2017-10-02 15:00:00+00:00
CAISO,1hr,DAM,-6082.0,2017-10-02 16:00:00+00:00
CAISO,1hr,DAM,-5672.0,2017-10-02 17:00:00+00:00
CAISO,1hr,DAM,-5674.0,2017-10-02 18:00:00+00:00
CAISO,1hr,DAM,-5939.0,2017-10-02 19:00:00+00:00
CAISO,1hr,DAM,-6164.0,2017-10-02 20:00:00+00:00
CAISO,1hr,DAM,-6255.0,2017-10-02 21:00:00+00:00
CAISO,1hr,DAM,-6695.0,2017-10-02 22:00:00+00:00
CAISO,1hr,DAM,-7274.200000000001,2017-10-02 23:00:00+00:00
CAISO,1hr,DAM,-8725.599999999999,2017-10-03 00:00:00+00:00
CAISO,1hr,DAM,-9111.0,2017-10-03 01:00:00+00:00
CAISO,1hr,DAM,-9442.0,2017-10-03 02:00:00+00:00
CAISO,1hr,DAM,-9656.0,2017-10-03 03:00:00+00:00
CAISO,1hr,DAM,-8913.6,2017-10-03 04:00:00+00:00
CAISO,1hr,DAM,-7689.200000000001,2017-10-03 05:00:00+00:00
CAISO,1hr,DAM,-7670.0,2017-10-03 06:00:00+00:00
CAISO,1hr,DAM,-7049.0,2017-10-03 07:00:00+00:00
CAISO,1hr,DAM,-6711.0,2017-10-03 08:00:00+00:00
CAISO,1hr,DAM,-6833.0,2017-10-03 09:00:00+00:00
CAISO,1hr,DAM,-6884.0,2017-10-03 10:00:00+00:00
CAISO,1hr,DAM,-7169.0,2017-10-03 11:00:00+00:00
CAISO,1hr,DAM,-7571.0,2017-10-03 12:00:00+00:00
CAISO,1hr,DAM,-9230.0,2017-10-03 13:00:00+00:00
CAISO,1hr,DAM,-8910.0,2017-10-03 14:00:00+00:00
CAISO,1hr,DAM,-7735.0,2017-10-03 15:00:00+00:00
CAISO,1hr,DAM,-6067.0,2017-10-03 16:00:00+00:00
CAISO,1hr,DAM,-5547.0,2017-10-03 17:00:00+00:00
CAISO,1hr,DAM,-5448.0,2017-10-03 18:00:00+00:00
CAISO,1hr,DAM,-5309.0,2017-10-03 19:00:00+00:00
CAISO,1hr,DAM,-5352.0,2017-10-03 20:00:00+00:00
CAISO,1hr,DAM,-5570.0,2017-10-03 21:00:00+00:00
CAISO,1hr,DAM,-6262.0,2017-10-03 22:00:00+00:00
CAISO,1hr,DAM,-6949.0,2017-10-03 23:00:00+00:00
CAISO,1hr,DAM,-7829.74,2017-10-04 00:00:00+00:00
CAISO,1hr,DAM,-8512.58,2017-10-04 01:00:00+00:00
CAISO,1hr,DAM,-8729.0,2017-10-04 02:00:00+00:00
CAISO,1hr,DAM,-8657.1,2017-10-04 03:00:00+00:00
CAISO,1hr,DAM,-8309.4,2017-10-04 04:00:00+00:00
CAISO,1hr,DAM,-7340.0,2017-10-04 05:00:00+00:00
CAISO,1hr,DAM,-6808.47,2017-10-04 06:00:00+00:00
CAISO,1hr,DAM,-6551.0,2017-10-04 07:00:00+00:00
CAISO,1hr,DAM,-6025.0,2017-10-04 08:00:00+00:00
CAISO,1hr,DAM,-5779.0,2017-10-04 09:00:00+00:00
CAISO,1hr,DAM,-5672.0,2017-10-04 10:00:00+00:00
CAISO,1hr,DAM,-5953.0,2017-10-04 11:00:00+00:00
CAISO,1hr,DAM,-6853.0,2017-10-04 12:00:00+00:00
CAISO,1hr,DAM,-8332.4,2017-10-04 13:00:00+00:00
CAISO,1hr,DAM,-8184.0,2017-10-04 14:00:00+00:00
CAISO,1hr,DAM,-7191.0,2017-10-04 15:00:00+00:00
CAISO,1hr,DAM,-5531.0,2017-10-04 16:00:00+00:00
CAISO,1hr,DAM,-5025.28,2017-10-04 17:00:00+00:00
CAISO,1hr,DAM,-5066.92,2017-10-04 18:00:00+00:00
CAISO,1hr,DAM,-5153.0,2017-10-04 19:00:00+00:00
